date,kharid_dollar,foroosh_dollar,dollar_farda,nerkh_arz,sekke_tala,sarafi_online,tavvarom,entekhabat,eeteraaz,tahrim,barjam,enfejar,teror,hamle,jang
2025-08-01 10:43:00,0,0,0,0,0,0,0,0,0,0,0,0,0,31,54
2025-08-01 10:44:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2025-08-01 10:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,23,57
2025-08-01 10:46:00,0,0,0,0,0,0,0,0,0,0,0,0,0,30,53
2025-08-01 10:47:00,0,0,0,0,0,0,0,0,0,0,0,0,0,23,50
2025-08-01 10:48:00,0,0,0,0,0,0,0,0,0,0,0,0,0,39,84
2025-08-01 10:49:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
2025-08-01 10:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2025-08-01 10:51:00,0,0,0,0,0,0,0,0,0,0,0,0,0,36,45
2025-08-01 10:52:00,0,0,0,0,0,0,0,0,0,0,0,0,0,22,85
2025-08-01 10:53:00,0,0,0,0,0,0,0,0,0,0,0,0,0,22,67
2025-08-01 10:54:00,0,0,0,0,0,0,0,0,0,0,0,25,0,0,79
2025-08-01 10:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2025-08-01 10:56:00,0,0,0,65,0,0,0,0,0,0,0,0,0,0,73
2025-08-01 10:57:00,0,0,0,0,0,0,0,0,0,0,0,0,0,27,67
2025-08-01 10:58:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
2025-08-01 10:59:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32,74
2025-08-01 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,24,64
2025-08-01 11:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2025-08-01 11:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
2025-08-01 11:03:00,0,0,0,0,0,0,0,50,0,0,0,0,0,32,54
2025-08-01 11:04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2025-08-01 11:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,23,60
2025-08-01 11:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32,51
2025-08-01 11:07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
2025-08-01 11:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,25,65
2025-08-01 11:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,27,60
2025-08-01 11:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,34,41
2025-08-01 11:11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,48,61
